"seqnames","start","end","width","strand","Proportion"
"NC_003074.8",4800101,4950100,150000,"*",0.00220289875730434
"NC_003074.8",4950101,5100100,150000,"*",-0.00029813240561794
"NC_003074.8",5100101,5250100,150000,"*",0.00259179910696638
"NC_003074.8",5250101,5400100,150000,"*",0.00662511813127726
"NC_003074.8",5400101,5550100,150000,"*",-0.000256132148751666
"NC_003074.8",5550101,5700100,150000,"*",-8.85907964126038e-05
"NC_003074.8",5700101,5850100,150000,"*",0.000781089168238006
"NC_003074.8",5850101,6000100,150000,"*",0.00382311788599336
"NC_003074.8",6000101,6150100,150000,"*",-0.000287731554123172
"NC_003074.8",6150101,6300100,150000,"*",-0.000517956693907352
"NC_003074.8",6300101,6450100,150000,"*",0.00030503710944178
"NC_003074.8",6450101,6600100,150000,"*",0.000324981431165914
"NC_003074.8",6600101,6750100,150000,"*",-0.000498547059593461
"NC_003074.8",6750101,6900100,150000,"*",3.23430013440072e-05
"NC_003074.8",6900101,7050100,150000,"*",0.000620605002018139
"NC_003074.8",7050101,7200100,150000,"*",-0.0002435439661424
"NC_003074.8",7200101,7350100,150000,"*",0.00421848183643611
"NC_003074.8",7350101,7500100,150000,"*",0.000660659237939773
"NC_003074.8",7500101,7650100,150000,"*",0.00183912115223911
"NC_003074.8",7650101,7800100,150000,"*",0.00158126468991727
"NC_003074.8",7800101,7950100,150000,"*",0.0115892404537827
"NC_003074.8",7950101,8100100,150000,"*",0.00148401133279192
"NC_003074.8",8100101,8250100,150000,"*",0.00856951977268638
"NC_003074.8",8250101,8400100,150000,"*",0.00407528109579816
"NC_003074.8",8400101,8550100,150000,"*",0.0064453634613165
"NC_003074.8",8550101,8700100,150000,"*",0.00200820510374027
"NC_003074.8",8700101,8850100,150000,"*",0.00504322040089487
"NC_003074.8",8850101,9000100,150000,"*",0.0113849109787659
"NC_003074.8",9000101,9150100,150000,"*",0.0108182821706967
"NC_003074.8",9150101,9300100,150000,"*",0.0116019658385659
"NC_003074.8",9300101,9450100,150000,"*",0.0135982313492756
"NC_003074.8",9450101,9600100,150000,"*",-0.00082964545887146
"NC_003074.8",9600101,9750100,150000,"*",0.0245345703353216
"NC_003074.8",9750101,9900100,150000,"*",0.0112831881186194
"NC_003074.8",9900101,10050100,150000,"*",0.00478888367124396
"NC_003074.8",10050101,10200100,150000,"*",0.00953012662891965
"NC_003074.8",10200101,10350100,150000,"*",0.0124946699850767
"NC_003074.8",10350101,10500100,150000,"*",0.0175478367164583
"NC_003074.8",10500101,10650100,150000,"*",0.0128829929790903
"NC_003074.8",10650101,10800100,150000,"*",0.00577128422856697
"NC_003074.8",10800101,10950100,150000,"*",0.0357325040536553
"NC_003074.8",10950101,11100100,150000,"*",0.0562712756537446
"NC_003074.8",11100101,11250100,150000,"*",0.0341715602034267
"NC_003074.8",11250101,11400100,150000,"*",0.0366545275284587
"NC_003074.8",11400101,11550100,150000,"*",0.0514924215620248
"NC_003074.8",11550101,11700100,150000,"*",0.0587016444472326
"NC_003074.8",11700101,11850100,150000,"*",0.0365876649477008
"NC_003074.8",11850101,12000100,150000,"*",0.040623093912754
"NC_003074.8",12000101,12150100,150000,"*",0.072552863741516
"NC_003074.8",12150101,12300100,150000,"*",0.0774598550345399
"NC_003074.8",12300101,12450100,150000,"*",0.0670376445585076
"NC_003074.8",12450101,12600100,150000,"*",0.0815396591776741
"NC_003074.8",12600101,12750100,150000,"*",0.0658846300195121
"NC_003074.8",12750101,12900100,150000,"*",0.0657963925243584
"NC_003074.8",12900101,13050100,150000,"*",0.0748460766739641
"NC_003074.8",13050101,13200100,150000,"*",0.0706235964635323
"NC_003074.8",13200101,13350100,150000,"*",0.0665831685280503
"NC_003074.8",13350101,13500100,150000,"*",0.075743258466772
"NC_003074.8",13500101,13650100,150000,"*",0.0704010523395884
"NC_003074.8",13650101,13800100,150000,"*",0.052364428357143
"NC_003074.8",13800101,13950100,150000,"*",0.0820663290405328
"NC_003074.8",13950101,14100100,150000,"*",0.0730511021983296
"NC_003074.8",14100101,14250100,150000,"*",0.0232249391720329
"NC_003074.8",14250101,14400100,150000,"*",0.0668318883739777
"NC_003074.8",14400101,14550100,150000,"*",0.0808473971472198
